class_id,class_name,n_plans,precision,recall,iou,gt_pixels
0,Background,2567,0.9999319264163776,0.9998957774179223,0.9998277366676624,332599274
1,Bedroom,2566,0.9999381452541826,0.9998039157298586,0.9997421890704764,107954432
2,Bathroom,2567,0.9997785173763531,0.9994207968117212,0.9991999460311604,26637727
3,Kitchen,2497,0.9998097250617636,0.999381240705274,0.9991911471349282,27263907
4,Living,2567,0.999860426042568,0.9998185366085784,0.9996790885875384,102350536
5,Balcony,1917,0.9992219518829202,0.999581538188144,0.9988046363355588,18471875
6,Storage,284,0.9985342787082128,0.9982053493038238,0.9967468193632946,966652
7,Stair,111,0.9342443594119954,0.8720345413590959,0.8522263389791128,614347
8,Parking,62,0.9296853768469048,0.9136523482899042,0.8895693073609654,1229103
9,Pool,0,,,,0
10,Wall,2567,0.9981381068336892,0.9990573971470512,0.9972016360749284,43013358
11,Door,2567,0.997381164868584,0.9969484758592284,0.9943662074035352,4262167
12,Window,2557,0.9990172605917916,0.9986951117802192,0.9977181830399876,6673810
13,FrontDoor,2567,0.9982229293323974,0.9971056624006018,0.9961202362338222,886460
14,class_14,0,,,,0
15,class_15,0,,,,0
