stem,mIoU,edge_precision,edge_recall,edge_f1,type_accuracy,ged,frobenius,frob_normalized,n_rooms_pred,n_rooms_gt,n_edges_pred,n_edges_gt
16649,0.9989,0.7,0.7,0.7,1.0,1.0,3.0757,0.4394,7,7,10,10
5674,0.9989,0.4545,0.4545,0.4545,0.8,4.0,4.1085,0.5869,7,7,11,11
9470,0.9981,0.4545,0.4545,0.4545,0.6,3.0,4.7392,0.5924,8,8,11,11
15266,0.9991,0.6154,0.6154,0.6154,1.0,1.0,4.2638,0.533,8,8,13,13
7876,0.9991,0.5714,0.5714,0.5714,0.75,1.0,5.006,0.5562,9,9,14,14
13135,0.9991,0.5,0.5,0.5,1.0,0.0,4.0,0.6667,6,6,8,8
13109,0.9993,0.6,0.6,0.6,0.6667,3.0,3.8026,0.5432,7,7,10,10
9271,0.9988,0.6471,0.6471,0.6471,0.7273,6.0,4.4766,0.4477,10,10,17,17
3675,0.999,0.75,0.75,0.75,0.8333,2.0,2.6758,0.446,6,6,8,8
6293,0.9989,0.8333,0.8333,0.8333,0.8,2.0,1.4,0.28,5,5,6,6
13388,0.9991,0.7222,0.7222,0.7222,0.7692,6.0,3.7895,0.3789,10,10,18,18
15441,0.9992,0.7692,0.8333,0.8,0.7,4.0,3.1113,0.3889,8,8,13,12
456,0.9996,1.0,1.0,1.0,1.0,0.0,0.0,0.0,5,5,8,8
7057,0.9994,0.8571,0.8571,0.8571,1.0,0.0,2.0,0.4,5,5,7,7
6863,0.9993,0.5455,0.5455,0.5455,0.6667,1.0,4.5891,0.6556,7,7,11,11
5049,0.9983,0.5714,0.5714,0.5714,0.75,4.0,4.5166,0.5646,8,8,14,14
15389,0.9988,0.875,0.875,0.875,1.0,0.0,2.0,0.3333,6,6,8,8
11855,0.9997,0.7778,0.7778,0.7778,0.7143,2.0,3.079,0.5132,6,6,9,9
2104,0.9992,0.6364,0.6364,0.6364,0.5714,3.0,3.8756,0.5537,7,7,11,11
1867,0.9992,0.5,0.5,0.5,1.0,2.0,4.3497,0.5437,8,8,12,12
4058,0.999,0.6111,0.6111,0.6111,0.8182,7.0,4.352,0.4352,10,10,18,18
6702,0.9967,0.5455,0.5455,0.5455,1.0,1.0,4.1785,0.5223,8,8,11,11
4858,0.9991,0.6154,0.6154,0.6154,1.0,0.0,4.4721,0.559,8,8,13,13
14448,0.9971,0.7333,0.7333,0.7333,0.9091,2.0,3.7363,0.3736,10,10,15,15
7022,0.9989,0.5455,0.5455,0.5455,0.8333,4.0,3.5889,0.5127,7,7,11,11
10980,0.9995,0.8889,0.8889,0.8889,0.625,3.0,2.5417,0.4236,6,6,9,9
476,0.9941,0.8235,0.8235,0.8235,0.8571,1.0,3.6139,0.3614,10,10,17,17
16391,0.9989,0.6667,0.6667,0.6667,0.8,2.0,4.6347,0.515,9,9,15,15
7463,0.9992,0.8333,0.8333,0.8333,0.9,2.0,2.6758,0.3345,8,8,12,12
5421,0.999,0.9333,0.9333,0.9333,0.6429,5.0,2.2847,0.2539,9,9,15,15
6608,0.9996,0.8889,0.8889,0.8889,0.875,1.0,2.1213,0.3536,6,6,9,9
3084,0.9993,0.6667,0.6667,0.6667,0.5833,6.0,4.6347,0.4635,10,10,18,18
6901,0.9991,0.5,0.5,0.5,1.0,0.0,4.0,0.6667,6,6,8,8
12206,0.9989,0.9091,0.9091,0.9091,0.6,3.0,2.4617,0.3517,7,7,11,11
8835,0.9986,0.8,0.8,0.8,0.8333,4.0,2.8142,0.3127,9,9,15,15
7505,0.999,0.5455,0.5455,0.5455,0.8333,1.0,4.5804,0.5725,8,8,11,11
5311,0.9993,0.8462,0.8462,0.8462,0.7273,2.0,3.1686,0.3961,8,8,13,13
9901,0.9967,0.4,0.4,0.4,0.75,26.0,7.9498,0.5678,14,14,30,30
10037,0.9993,0.8,0.8,0.8,0.1667,8.0,3.8262,0.4251,9,9,15,15
12686,0.9974,0.6316,0.6316,0.6316,0.5,8.0,5.1614,0.5161,10,10,19,19
11774,0.9998,0.8571,0.8571,0.8571,1.0,0.0,2.0,0.3333,6,6,7,7
16184,0.9991,0.5,0.5,0.5,1.0,0.0,4.0,0.6667,6,6,8,8
8812,0.9974,0.5,0.5,0.5,1.0,5.0,5.4277,0.5428,10,10,16,16
14447,0.9991,0.7143,0.7143,0.7143,1.0,1.0,3.6688,0.4076,9,9,14,14
14167,0.9988,0.6667,0.6667,0.6667,0.7,5.0,3.891,0.4323,9,9,15,15
14330,0.9987,0.7778,0.7778,0.7778,0.7143,3.0,2.1679,0.3613,6,6,9,9
12750,0.9985,0.8571,0.8571,0.8571,1.0,0.0,2.0,0.4,5,5,7,7
14651,0.9976,0.6316,0.6316,0.6316,0.5,9.0,4.9092,0.4909,10,10,19,19
11467,0.9992,0.8182,0.8182,0.8182,1.0,1.0,2.486,0.3551,7,7,11,11
15797,0.9989,0.4286,0.4286,0.4286,1.0,2.0,3.3045,0.5508,6,6,7,7
11490,0.9991,0.5,0.5,0.5,1.0,0.0,4.0,0.6667,6,6,8,8
11211,0.9988,0.9167,0.9167,0.9167,1.0,0.0,2.0,0.25,8,8,12,12
10431,0.9989,0.9091,0.9091,0.9091,0.7,3.0,2.3452,0.335,7,7,11,11
5179,0.9993,0.8889,0.8889,0.8889,1.0,0.0,2.0,0.3333,6,6,9,9
8090,0.9983,0.8571,0.8571,0.8571,0.6667,2.0,2.4413,0.4883,5,5,7,7
6460,0.9982,0.9286,0.9286,0.9286,0.6923,5.0,1.8601,0.2325,8,8,14,14
12321,0.9982,0.8889,0.8889,0.8889,0.625,3.0,2.3452,0.3909,6,6,9,9
15674,0.9987,0.7143,0.7143,0.7143,0.5333,16.0,4.1713,0.3476,12,12,21,21
6321,0.9979,1.0,1.0,1.0,0.9,1.0,0.7071,0.0884,8,8,10,10
12107,0.9978,0.7692,0.7692,0.7692,0.4,4.0,3.8884,0.4861,8,8,13,13
7313,0.9993,0.5385,0.5385,0.5385,0.8571,2.0,4.6861,0.5858,8,8,13,13
14945,0.9994,0.6,0.6,0.6,1.0,0.0,4.0,0.5714,7,7,10,10
10868,0.999,0.8182,0.8182,0.8182,0.7778,2.0,2.5534,0.3648,7,7,11,11
1511,0.9986,0.6923,0.6923,0.6923,0.7778,4.0,3.4525,0.4316,8,8,13,13
13492,0.9976,0.5294,0.5294,0.5294,1.0,12.0,5.2574,0.5257,10,10,17,17
12459,0.9988,0.7273,0.7273,0.7273,1.0,2.0,2.6306,0.3288,8,8,11,11
16332,0.9987,0.8182,0.8182,0.8182,0.7778,2.0,3.079,0.4399,7,7,11,11
1727,0.9992,0.75,0.75,0.75,0.8333,1.0,2.9155,0.4859,6,6,8,8
15479,0.9988,0.9167,0.9167,0.9167,0.7273,4.0,1.9799,0.22,9,9,12,12
3645,0.9965,0.4375,0.4375,0.4375,0.8571,2.0,5.889,0.5889,10,10,16,16
959,0.9991,0.7,0.7,0.7,0.7143,1.0,3.6139,0.5163,7,7,10,10
7462,0.9993,0.7273,0.7273,0.7273,0.875,2.0,3.1559,0.3945,8,8,11,11
3685,0.9937,0.6875,0.6875,0.6875,1.0,0.0,4.4721,0.4472,10,10,16,16
